epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.5469,7.43565,3.44578,3.85102,0.15374,0.14987,0.0615,0.01525,7.42486,3.02665,3.53131,0.0701111,0.00332099,0.00332099
2,71.0345,7.4045,2.69955,3.29343,0.25829,0.20317,0.11818,0.03647,7.39005,2.8756,3.09562,0.0396719,0.00621514,0.00621514
3,104.863,7.36235,2.56516,2.85364,0.25108,0.24972,0.15851,0.0538,7.35852,2.8654,2.76985,0.00879274,0.00866928,0.00866928
4,138.705,7.32929,2.42307,2.54049,0.33789,0.3089,0.21541,0.07754,7.32737,2.78388,2.57272,0.00802,0.00802,0.00802
5,172.846,7.3073,2.33417,2.38041,0.37348,0.37829,0.29265,0.12034,7.30265,2.25308,2.33394,0.00736,0.00736,0.00736
6,211.431,7.28598,2.70514,2.39392,0.33687,0.29944,0.23817,0.09574,7.29759,2.60423,2.33167,0.0067,0.0067,0.0067
7,244.266,7.29968,2.56577,2.37096,0.35522,0.3594,0.24678,0.09334,7.30839,2.484,2.33444,0.00604,0.00604,0.00604
8,277.275,7.28215,2.42506,2.27289,0.38746,0.32261,0.27623,0.11221,7.28897,2.32772,2.24413,0.00538,0.00538,0.00538
9,310.816,7.28876,2.32294,2.27588,0.46404,0.39257,0.33138,0.13821,7.28425,2.22838,2.15205,0.00472,0.00472,0.00472
10,343.405,7.2794,2.2092,2.18071,0.4423,0.37184,0.31632,0.13214,7.28305,2.20913,2.16456,0.00406,0.00406,0.00406
11,375.854,7.27843,2.16314,2.16502,0.4413,0.39409,0.35117,0.15235,7.27164,2.03877,2.05956,0.0034,0.0034,0.0034
12,408.277,7.21168,2.07624,2.06138,0.50682,0.43704,0.43481,0.1985,7.26205,1.88592,1.99538,0.00274,0.00274,0.00274
13,440.699,7.20915,1.936,2.02714,0.53473,0.44554,0.44417,0.19745,7.26138,1.8694,2.01474,0.00208,0.00208,0.00208
14,473.199,7.23171,1.86216,1.98899,0.54902,0.46979,0.48534,0.22478,7.25919,1.76216,1.97898,0.00142,0.00142,0.00142
15,505.942,7.25279,1.76618,1.95473,0.5682,0.48687,0.49959,0.23428,7.25133,1.73514,1.92381,0.00076,0.00076,0.00076
