epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.0318,7.22744,2.51868,1.64697,0.39848,0.35831,0.29352,0.11753,7.2245,2.28635,1.76122,0.0671222,0.000332099,0.000332099
2,73.0274,7.2135,2.11005,1.59277,0.43903,0.38253,0.34602,0.15066,7.23249,2.11227,1.76086,0.0340893,0.000632493,0.000632493
3,106.3,7.21544,2.02135,1.59283,0.43773,0.41662,0.34858,0.1403,7.22998,2.15995,1.74346,0.00102334,0.000899888,0.000899888
4,139.428,7.21045,1.91228,1.5548,0.47935,0.41677,0.39808,0.18253,7.22167,1.94449,1.64924,0.0008515,0.0008515,0.0008515
5,172.641,7.20834,1.85422,1.55304,0.53045,0.4459,0.44915,0.20581,7.21582,1.81608,1.61785,0.000802,0.000802,0.000802
6,205.815,7.20444,1.78666,1.51573,0.54287,0.49312,0.48367,0.22629,7.20672,1.73775,1.57982,0.0007525,0.0007525,0.0007525
7,239.085,7.19962,1.72901,1.50373,0.52515,0.46208,0.45623,0.21196,7.21498,1.79097,1.61446,0.000703,0.000703,0.000703
8,273.156,7.1993,1.69671,1.49245,0.53897,0.48114,0.49266,0.22849,7.21497,1.68618,1.57628,0.0006535,0.0006535,0.0006535
9,306.495,7.16909,1.67977,1.45677,0.59151,0.51045,0.53092,0.26139,7.20633,1.685,1.53045,0.000604,0.000604,0.000604
10,339.601,7.19361,1.63578,1.46283,0.54329,0.50139,0.51163,0.2497,7.21211,1.72133,1.57103,0.0005545,0.0005545,0.0005545
11,389.562,7.19838,1.7727,1.54092,0.55973,0.50509,0.51264,0.24229,7.20904,1.72663,1.58774,0.000505,0.000505,0.000505
12,422.767,7.14762,1.70937,1.52353,0.57808,0.53607,0.53503,0.26236,7.20536,1.67839,1.54904,0.0004555,0.0004555,0.0004555
13,455.592,7.14531,1.60848,1.53126,0.62114,0.52453,0.56021,0.27605,7.20728,1.55195,1.52123,0.000406,0.000406,0.000406
14,488.583,7.16508,1.53817,1.47999,0.63079,0.52637,0.56697,0.28775,7.20475,1.52413,1.49678,0.0003565,0.0003565,0.0003565
15,521.336,7.19099,1.48033,1.47576,0.61963,0.50176,0.54241,0.25586,7.20638,1.63419,1.5435,0.000307,0.000307,0.000307
16,554.114,7.18912,1.47471,1.45984,0.6505,0.53482,0.58863,0.29836,7.20246,1.4833,1.50906,0.0002575,0.0002575,0.0002575
17,586.7,7.18605,1.38187,1.44173,0.63978,0.54902,0.59055,0.30517,7.19906,1.44244,1.50453,0.000208,0.000208,0.000208
18,619.273,7.18343,1.3547,1.42363,0.6587,0.54701,0.60522,0.31772,7.19544,1.39302,1.48029,0.0001585,0.0001585,0.0001585
19,652.045,7.15009,1.35838,1.41912,0.65285,0.57646,0.61323,0.31884,7.19639,1.37845,1.4802,0.000109,0.000109,0.000109
20,684.695,7.17658,1.27147,1.3791,0.68072,0.56885,0.61708,0.32125,7.19498,1.37036,1.46727,5.95e-05,5.95e-05,5.95e-05
