epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.8797,7.40042,3.7032,3.37193,0.10303,0.11168,0.02575,0.00536,7.38376,3.45325,3.12088,0.0669562,0.000166049,0.000166049
2,72.992,7.36994,3.17821,3.0579,0.1413,0.13275,0.0662,0.01624,7.35681,3.01674,2.91856,0.033773,0.000316247,0.000316247
3,107.082,7.35478,2.99287,2.85666,0.17337,0.18947,0.0894,0.02716,7.33734,2.84829,2.68392,0.000573401,0.000449944,0.000449944
4,140.86,7.33817,2.83189,2.65981,0.16668,0.2189,0.09874,0.02811,7.33599,2.94654,2.66057,0.00042575,0.00042575,0.00042575
5,174.542,7.32993,2.75263,2.55955,0.19697,0.21531,0.12539,0.03977,7.32146,2.74164,2.52009,0.000401,0.000401,0.000401
6,208.644,7.32045,2.62038,2.47062,0.21687,0.26939,0.13812,0.0447,7.32358,2.70989,2.45547,0.00037625,0.00037625,0.00037625
7,242.769,7.31324,2.54556,2.3813,0.31092,0.23762,0.1852,0.06145,7.30927,2.60538,2.39549,0.0003515,0.0003515,0.0003515
8,276.11,7.30806,2.49524,2.32962,0.33524,0.2906,0.22478,0.07884,7.31144,2.4686,2.35165,0.00032675,0.00032675,0.00032675
9,309.989,7.27458,2.44199,2.26716,0.32292,0.30508,0.2259,0.08514,7.30115,2.39864,2.25122,0.000302,0.000302,0.000302
10,344.579,7.29594,2.3982,2.22678,0.28478,0.34329,0.20456,0.0801,7.30485,2.52737,2.25318,0.00027725,0.00027725,0.00027725
11,385.874,7.29208,2.53324,2.25788,0.29812,0.30904,0.20572,0.07654,7.29285,2.34094,2.21181,0.0002525,0.0002525,0.0002525
12,419.411,7.22642,2.45771,2.20671,0.34458,0.29703,0.2488,0.10017,7.28998,2.33293,2.16382,0.00022775,0.00022775,0.00022775
13,452.401,7.23142,2.37684,2.17802,0.38789,0.32475,0.265,0.10766,7.28519,2.24415,2.13351,0.000203,0.000203,0.000203
14,485.491,7.25605,2.29166,2.15456,0.40241,0.35086,0.30744,0.13069,7.28173,2.19797,2.09024,0.00017825,0.00017825,0.00017825
15,518.632,7.27769,2.2395,2.13396,0.41403,0.31383,0.29688,0.1158,7.28528,2.27391,2.12652,0.0001535,0.0001535,0.0001535
16,551.582,7.27916,2.26527,2.1141,0.41669,0.33806,0.31882,0.13198,7.28398,2.11787,2.07603,0.00012875,0.00012875,0.00012875
17,584.589,7.27,2.17572,2.08092,0.41158,0.36965,0.31823,0.13636,7.27601,2.11163,2.03903,0.000104,0.000104,0.000104
18,617.539,7.26776,2.18418,2.05523,0.42773,0.36931,0.34305,0.14703,7.27733,2.05179,2.03167,7.925e-05,7.925e-05,7.925e-05
19,650.428,7.2313,2.17725,2.05195,0.42206,0.38199,0.33783,0.1487,7.27534,2.04203,2.02201,5.45e-05,5.45e-05,5.45e-05
20,683.409,7.26701,2.06835,2.01241,0.43548,0.37886,0.35377,0.15614,7.27419,2.02534,2.00812,2.975e-05,2.975e-05,2.975e-05
