epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.613,7.22521,2.84439,1.66775,0.50562,0.40903,0.3774,0.17754,7.21897,2.03859,1.58362,0.0701111,0.00332099,0.00332099
2,109.104,7.1988,1.94888,1.48632,0.50051,0.42251,0.41381,0.19161,7.21071,1.9279,1.52897,0.0397817,0.00632493,0.00632493
3,162.961,7.20283,2.00043,1.51101,0.47422,0.3852,0.36353,0.15908,7.2295,2.11461,1.67398,0.00912233,0.00899888,0.00899888
4,216.595,7.20433,1.93109,1.50587,0.41092,0.37273,0.32069,0.13851,7.23722,2.38409,1.72045,0.008515,0.008515,0.008515
5,268.658,7.20889,1.9416,1.55,0.50885,0.40286,0.38149,0.17121,7.23004,2.05824,1.66151,0.00802,0.00802,0.00802
6,320.77,7.20303,1.76536,1.48381,0.491,0.42299,0.41269,0.1811,7.21835,1.89678,1.61826,0.007525,0.007525,0.007525
7,372.531,7.20215,1.74825,1.50595,0.49532,0.42651,0.40283,0.18553,7.21883,1.85074,1.60241,0.00703,0.00703,0.00703
8,424.51,7.19688,1.67202,1.46066,0.5701,0.48293,0.50735,0.2379,7.21365,1.64927,1.56253,0.006535,0.006535,0.006535
9,476.61,7.16514,1.61072,1.42148,0.56055,0.4634,0.4609,0.21855,7.22377,1.75945,1.65002,0.00604,0.00604,0.00604
10,528.631,7.19153,1.55403,1.4447,0.59852,0.53665,0.55457,0.26233,7.21035,1.58348,1.52857,0.005545,0.005545,0.005545
11,599.841,7.20129,1.68061,1.54546,0.46886,0.38735,0.35409,0.15762,7.24389,2.16007,1.80002,0.00505,0.00505,0.00505
12,651.805,7.14766,1.66227,1.51286,0.59724,0.45763,0.49793,0.24457,7.21135,1.65882,1.55199,0.004555,0.004555,0.004555
13,703.387,7.14201,1.53393,1.48929,0.59,0.48661,0.51415,0.24857,7.20408,1.55993,1.5304,0.00406,0.00406,0.00406
14,755.087,7.16627,1.50713,1.46762,0.60538,0.52665,0.55549,0.2798,7.20081,1.49005,1.48176,0.003565,0.003565,0.003565
15,806.844,7.19118,1.37914,1.45894,0.64527,0.52601,0.57995,0.28932,7.20145,1.49233,1.49093,0.00307,0.00307,0.00307
16,858.745,7.18737,1.37627,1.43901,0.6151,0.52759,0.56597,0.28619,7.20305,1.5107,1.51201,0.002575,0.002575,0.002575
17,910.274,7.18201,1.26625,1.41014,0.68445,0.52658,0.60934,0.31745,7.19391,1.3775,1.45758,0.00208,0.00208,0.00208
18,961.899,7.17946,1.21296,1.38179,0.69438,0.54117,0.62703,0.32809,7.19341,1.34451,1.44696,0.001585,0.001585,0.001585
19,1013.68,7.13932,1.23058,1.35125,0.65679,0.57674,0.62831,0.32723,7.19061,1.33748,1.44526,0.00109,0.00109,0.00109
20,1065.28,7.16884,1.10861,1.31338,0.67203,0.59771,0.65109,0.34527,7.19054,1.2844,1.43829,0.000595,0.000595,0.000595
