epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.2158,7.22661,2.81932,1.46211,0.38958,0.30633,0.24567,0.11405,7.2209,2.6794,1.44544,0.0701111,0.00332099,0.00332099
2,49.6288,7.20518,2.15601,1.36889,0.38157,0.41094,0.29368,0.12477,7.21206,2.3484,1.36279,0.0396719,0.00621514,0.00621514
3,72.5545,7.2096,2.12239,1.38393,0.37247,0.35162,0.26998,0.10865,7.23358,2.33391,1.46053,0.00879274,0.00866928,0.00866928
4,95.0882,7.20997,2.06672,1.40449,0.33808,0.21216,0.16416,0.06406,7.25133,4.10766,1.60022,0.00802,0.00802,0.00802
5,117.152,7.21204,2.03467,1.41894,0.43419,0.34616,0.31728,0.1368,7.22096,2.15552,1.43072,0.00736,0.00736,0.00736
6,141.944,7.20073,2.41605,1.51531,0.36744,0.31105,0.25846,0.10756,7.2361,2.40697,1.53783,0.0067,0.0067,0.0067
7,164.1,7.22227,2.31267,1.48618,0.43367,0.36264,0.32865,0.14091,7.21886,1.98423,1.43244,0.00604,0.00604,0.00604
8,186.027,7.18153,2.11191,1.46645,0.4273,0.35719,0.31814,0.14216,7.21538,1.94376,1.40202,0.00538,0.00538,0.00538
9,207.838,7.21388,2.02978,1.46363,0.46094,0.3973,0.35604,0.15575,7.21653,1.91587,1.42284,0.00472,0.00472,0.00472
10,229.628,7.20308,1.98694,1.42759,0.45226,0.37349,0.34534,0.15061,7.20974,1.89215,1.39095,0.00406,0.00406,0.00406
11,251.478,7.20453,1.85656,1.39149,0.54169,0.40252,0.4141,0.19527,7.20461,1.70978,1.34593,0.0034,0.0034,0.0034
12,273.301,7.14004,1.79002,1.35907,0.51766,0.43784,0.4278,0.19883,7.20735,1.7095,1.35675,0.00274,0.00274,0.00274
13,295.323,7.14257,1.67987,1.34517,0.5267,0.44085,0.4384,0.21037,7.1923,1.64033,1.31267,0.00208,0.00208,0.00208
14,317.259,7.16192,1.55964,1.3061,0.57083,0.45058,0.47943,0.23059,7.19681,1.5483,1.30661,0.00142,0.00142,0.00142
15,339.015,7.18264,1.51746,1.29297,0.59419,0.4674,0.49452,0.24626,7.19095,1.49528,1.27612,0.00076,0.00076,0.00076
