epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.5399,7.22204,2.54908,1.61798,0.3476,0.34095,0.2666,0.10922,7.22462,2.27487,1.70167,0.0671222,0.000332099,0.000332099
2,67.9667,7.21241,2.10943,1.58031,0.45407,0.39279,0.36715,0.16422,7.23006,2.07222,1.68387,0.0340893,0.000632493,0.000632493
3,99.4194,7.21387,2.00285,1.58201,0.44808,0.38875,0.35045,0.1425,7.22031,2.32964,1.70131,0.00102334,0.000899888,0.000899888
4,130.66,7.20717,1.86916,1.53412,0.43826,0.4398,0.40076,0.17867,7.22143,2.06343,1.61983,0.0008515,0.0008515,0.0008515
5,161.8,7.20736,1.84306,1.5427,0.53012,0.44553,0.46084,0.21427,7.21255,1.79894,1.57462,0.000802,0.000802,0.000802
6,193.017,7.20216,1.74341,1.50384,0.54416,0.4975,0.49145,0.23586,7.20968,1.78803,1.57305,0.0007525,0.0007525,0.0007525
7,225.546,7.19969,1.71329,1.49688,0.53854,0.47224,0.47471,0.21533,7.2113,1.72767,1.58245,0.000703,0.000703,0.000703
8,258.465,7.19784,1.66859,1.47705,0.58733,0.4836,0.51621,0.25684,7.2108,1.63961,1.54963,0.0006535,0.0006535,0.0006535
9,291.32,7.16785,1.67679,1.46102,0.58727,0.50548,0.52687,0.26336,7.2072,1.6122,1.52178,0.000604,0.000604,0.000604
10,324.334,7.19415,1.62125,1.46956,0.57496,0.50612,0.54012,0.2647,7.20559,1.59536,1.55106,0.0005545,0.0005545,0.0005545
11,360.253,7.19693,1.69698,1.52854,0.58262,0.51466,0.53351,0.26592,7.20941,1.65985,1.54812,0.000505,0.000505,0.000505
12,391.483,7.14825,1.73285,1.51991,0.60858,0.52835,0.55188,0.25883,7.20789,1.70136,1.55562,0.0004555,0.0004555,0.0004555
13,422.154,7.14313,1.64195,1.50255,0.59059,0.52692,0.54033,0.27496,7.20445,1.5565,1.50275,0.000406,0.000406,0.000406
14,452.985,7.16628,1.53702,1.4837,0.64438,0.52728,0.58372,0.29758,7.20135,1.5305,1.4807,0.0003565,0.0003565,0.0003565
15,483.784,7.19082,1.45594,1.46586,0.63385,0.54458,0.58245,0.29724,7.19986,1.49716,1.50065,0.000307,0.000307,0.000307
16,514.4,7.18925,1.44744,1.4569,0.60554,0.53279,0.56008,0.28561,7.20218,1.50937,1.49341,0.0002575,0.0002575,0.0002575
17,545.066,7.18598,1.36536,1.43357,0.65251,0.56321,0.60092,0.31168,7.19898,1.41004,1.48034,0.000208,0.000208,0.000208
18,575.872,7.18159,1.34847,1.41971,0.68292,0.56214,0.61884,0.31754,7.19572,1.38442,1.47519,0.0001585,0.0001585,0.0001585
19,606.557,7.14631,1.38886,1.40464,0.67437,0.58091,0.63102,0.32608,7.19388,1.36894,1.46,0.000109,0.000109,0.000109
20,637.377,7.17512,1.26628,1.37092,0.65156,0.58484,0.62498,0.32654,7.19446,1.37803,1.46249,5.95e-05,5.95e-05,5.95e-05
