epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.3218,1.79167,3.15853,1.49654,0.33613,0.26596,0.21101,0.09829,1.93817,3.00573,1.52193,0.0701111,0.00332099,0.00332099
2,47.8855,1.77803,2.42825,1.44435,0.33061,0.28779,0.22053,0.08863,1.97383,2.63706,1.48738,0.0396719,0.00621514,0.00621514
3,69.5349,1.90286,2.34857,1.48027,0.27384,0.24758,0.15507,0.05756,2.19366,2.74409,1.64431,0.00879274,0.00866928,0.00866928
4,91.1812,1.92246,2.27149,1.49634,0.31827,0.32878,0.23645,0.09677,2.06645,2.48884,1.51194,0.00802,0.00802,0.00802
5,112.824,1.92274,2.25483,1.51168,0.3269,0.2778,0.18644,0.07156,2.09905,2.75161,1.55355,0.00736,0.00736,0.00736
6,136.882,2.12363,2.80759,1.63346,0.24139,0.27473,0.15062,0.05453,2.20722,2.71232,1.70287,0.0067,0.0067,0.0067
7,158.025,2.18093,2.63399,1.66517,0.34604,0.30685,0.22856,0.09164,2.05179,2.27612,1.56201,0.00604,0.00604,0.00604
8,179.214,2.06351,2.44624,1.60036,0.35154,0.30192,0.23699,0.09587,2.06885,2.21899,1.55477,0.00538,0.00538,0.00538
9,200.254,2.00454,2.32851,1.54685,0.38891,0.32571,0.28279,0.12102,2.01638,2.04969,1.51602,0.00472,0.00472,0.00472
10,221.364,1.96451,2.21856,1.53443,0.39625,0.34405,0.30371,0.13149,1.95137,2.01428,1.46722,0.00406,0.00406,0.00406
11,242.57,1.88785,2.09563,1.50519,0.3353,0.30713,0.20907,0.08101,2.16259,2.65472,1.63532,0.0034,0.0034,0.0034
12,263.919,1.84828,2.06348,1.43124,0.44243,0.35073,0.32921,0.14764,1.92886,2.06253,1.45773,0.00274,0.00274,0.00274
13,284.953,1.80139,1.94767,1.4176,0.51928,0.41099,0.40703,0.19402,1.77359,1.77894,1.36328,0.00208,0.00208,0.00208
14,306.157,1.71224,1.82824,1.38269,0.50227,0.42242,0.41602,0.19992,1.73521,1.70863,1.33694,0.00142,0.00142,0.00142
15,327.186,1.70782,1.78094,1.35904,0.53027,0.42881,0.43566,0.21387,1.72535,1.69676,1.34756,0.00076,0.00076,0.00076
