epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.4134,1.85355,2.70229,1.70845,0.32019,0.31036,0.22736,0.08765,1.99649,2.90624,1.89479,0.0671222,0.000332099,0.000332099
2,68.1747,1.80718,2.24617,1.67951,0.36314,0.34009,0.27894,0.11481,1.95969,2.21975,1.80598,0.0340893,0.000632493,0.000632493
3,99.8894,1.80368,2.13911,1.65755,0.4159,0.37219,0.31816,0.13482,1.86293,2.08047,1.71369,0.00102334,0.000899888,0.000899888
4,132.639,1.75476,2.0252,1.61696,0.35694,0.3806,0.29114,0.12209,1.95724,2.24252,1.73885,0.0008515,0.0008515,0.0008515
5,165.525,1.71682,1.96646,1.60231,0.44516,0.4178,0.3636,0.15521,1.81328,2.08643,1.6649,0.000802,0.000802,0.000802
6,198.151,1.6887,1.87424,1.56518,0.50855,0.43042,0.39419,0.1768,1.77788,1.93086,1.62953,0.0007525,0.0007525,0.0007525
7,230.823,1.65009,1.80341,1.5399,0.47982,0.46781,0.43316,0.19771,1.7719,1.82198,1.61093,0.000703,0.000703,0.000703
8,263.669,1.61907,1.79251,1.53029,0.51021,0.48021,0.4568,0.20963,1.79036,1.78569,1.61574,0.0006535,0.0006535,0.0006535
9,296.591,1.58189,1.75957,1.48132,0.55176,0.48917,0.49239,0.24438,1.69902,1.72219,1.55877,0.000604,0.000604,0.000604
10,329.41,1.58585,1.70748,1.48758,0.52727,0.50254,0.4927,0.24139,1.73595,1.74512,1.57735,0.0005545,0.0005545,0.0005545
11,365.253,1.68214,1.83305,1.57556,0.55714,0.48027,0.4961,0.23776,1.73699,1.72108,1.58433,0.000505,0.000505,0.000505
12,395.794,1.64141,1.79964,1.55461,0.52672,0.46468,0.45214,0.21206,1.74967,1.95985,1.61035,0.0004555,0.0004555,0.0004555
13,426.199,1.61847,1.73327,1.56563,0.57412,0.49635,0.50285,0.24759,1.70366,1.68293,1.57709,0.000406,0.000406,0.000406
14,456.922,1.58272,1.67762,1.53003,0.57529,0.51473,0.52456,0.25763,1.6667,1.6226,1.51735,0.0003565,0.0003565,0.0003565
15,487.36,1.54525,1.5529,1.49573,0.61798,0.51315,0.55933,0.27852,1.65682,1.59645,1.53329,0.000307,0.000307,0.000307
16,517.861,1.5482,1.58225,1.49482,0.60836,0.53064,0.56583,0.27618,1.6633,1.53778,1.51903,0.0002575,0.0002575,0.0002575
17,548.282,1.53996,1.50395,1.46365,0.60368,0.54261,0.5683,0.28642,1.6466,1.51049,1.52326,0.000208,0.000208,0.000208
18,578.86,1.48611,1.49348,1.45177,0.63515,0.55204,0.58755,0.30126,1.61894,1.47973,1.49788,0.0001585,0.0001585,0.0001585
19,609.495,1.47225,1.50082,1.43386,0.62736,0.57151,0.59322,0.30338,1.59991,1.4481,1.48459,0.000109,0.000109,0.000109
20,640.167,1.4449,1.40895,1.39838,0.63135,0.57299,0.60011,0.30876,1.58194,1.43053,1.47236,5.95e-05,5.95e-05,5.95e-05
